3422,-4,1-0,r4r1k/pp1bQ2p/4pp2/5q2/4p3/2B4P/PP3P2/4KBR1 b - - 1 20
3748,-5,1-0,6k1/3q1r1N/pnn2rp1/1p2p3/4P2Q/P1Pp2P1/4BP2/6KR b - - 1 36
4063,-5,1-0,3r1rk1/4bp1p/pq2Pn2/1pp2pQ1/2P1B3/1P6/PB4PP/R6K b - - 2 23
4118,6,0-1,2B2r1k/bp4p1/p2p3p/7Q/P3P3/2Pn4/1P1N2PP/R4RqK w - - 1 23
4161,-5,1-0,6k1/6Qp/4q1p1/1b1p4/3B2P1/2P4P/4r3/6K1 b - - 35 73
4219,-6,1-0,2kr3r/Q2p1ppp/1Bp1p3/4P3/2b2PP1/2q5/P1nRBK1P/8 b - - 7 24
4241,-5,1-0,1q3r1k/3p1p1p/b1p4Q/p1P1PN2/2r2p2/P7/1P1R2PP/1K6 b - - 3 28
4322,-4,1-0,r6k/8/p3p1QP/1p1rq3/3p1P2/8/PPP5/1K4R1 b - - 0 32
4371,-4,1-0,5rk1/8/p5Q1/1p1p1p2/5P1P/P1P3PK/1q6/8 b - - 2 42
4430,-6,1-0,6R1/1p3p1p/3p1p1k/1p2pNr1/4P3/q3N1P1/P4PK1/8 b - - 5 29
4432,-5,1-0,4K2k/1p1P4/1P2P3/2p3p1/8/3r4/8/8 b - - 2 52
4501,-9,1-0,2r4r/1p1Q3p/3p3b/pP1N4/2q2P1k/8/P5PP/6K1 w - - 0 31
4556,-4,1-0,3rk3/R1P2pp1/2B1p3/p3bb1p/1p6/1P4PP/P4K2/8 b - - 1 36
4595,-5,1-0,3R2k1/5ppp/2r1b3/2N4q/p4n1P/P4P2/1P3BP1/5BK1 b - - 1 35
4692,-8,1-0,1K6/P7/2q5/3k4/8/8/8/8 w - - 16 57
4696,-4,1-0,4R3/p1q2rkp/2p2Pp1/6P1/2r4P/1P2Q3/1KP5/8 b - - 0 39
4713,-4,1-0,4r2Q/2r2k1R/3p2p1/1p1N1Pq1/p3Pb2/8/PPP5/1K6 b - - 3 27
4714,-4,1-0,8/1P3pk1/1K4p1/2q5/2R2P2/8/8/8 w - - 0 92
4756,-6,1-0,1r2r3/1p1R1pkp/p1n1p1p1/7N/2P2q2/2Q5/PP2B1PP/5n1K b - - 1 22
4834,-4,1-0,2rq1r2/8/p2ppPk1/4p2p/1p2P2P/5Q2/PPP2P2/1K4R1 b - - 1 27
4867,7,0-1,6k1/3n1ppp/p2P4/5PP1/P4Q2/qp1N3P/1p2r1B1/1K1RR3 w - - 1 32
4950,-7,1-0,5R1k/6np/q7/3P4/3B1p1p/8/6P1/2rB2K1 b - - 0 43
4959,6,0-1,6k1/8/pp1p4/2PPn3/1P2Ppr1/2Q3p1/P5P1/2RRBK1q w - - 5 39
4964,5,0-1,4r1k1/2b2ppp/8/5RP1/6Q1/1P6/P1p2P1q/2B2RK1 w - - 1 38
5031,-5,1-0,1nr2k1Q/p4p2/1p3Np1/4PpB1/1q2b3/8/PP4PP/3r1RK1 b - - 1 28
5355,-8,1-0,r4rk1/1p3p2/4bP1Q/p3p3/4B3/1P6/PKP3PP/4q3 b - - 1 26
