CPScore,HigherPlayerWinPercentage,HigherPlayerWins,HigherPlayerLosses
223,0.5,1,1
-2526,0.0,0,1
996,1.0,1,0
1317,1.0,1,0
-188,0.5,1,1
979,0.5,1,1
770,0.6666666666666666,2,1
1966,0.0,0,1
-1167,0.0,0,1
-640,0.0,0,1
61,0.3333333333333333,1,2
-145,0.5,1,1
-789,1.0,1,0
262,0.5,1,1
-462,0.0,0,1
582,1.0,1,0
-1186,1.0,1,0
-452,0.0,0,1
-172,1.0,1,0
424,1.0,1,0
-234,0.0,0,1
-390,1.0,1,0
-879,0.5,1,1
-233,1.0,1,0
144,0.75,3,1
-665,1.0,1,0
-435,0.0,0,1
-405,0.0,0,2
-897,0.0,0,1
202,0.5,1,1
84,0.2,1,4
-1618,1.0,1,0
-1506,1.0,1,0
-84,1.0,3,0
-64,0.0,0,5
659,0.5,1,1
-134,0.0,0,2
776,0.5,1,1
-326,0.5,1,1
-1355,0.0,0,1
-76,0.25,1,3
-70,0.75,3,1
-2614,0.0,0,1
1019,1.0,1,0
633,1.0,1,0
-81,1.0,1,0
115,0.5,1,1
349,0.0,0,1
-461,1.0,1,0
221,1.0,2,0
-159,1.0,1,0
-150,0.75,3,1
701,1.0,1,0
156,1.0,2,0
-135,0.0,0,2
828,1.0,1,0
-872,1.0,1,0
-470,1.0,1,0
930,0.0,0,1
-215,1.0,1,0
648,0.0,0,1
-88,1.0,2,0
1387,0.0,0,1
-222,0.0,0,2
-307,0.3333333333333333,1,2
636,0.0,0,1
281,0.5,1,1
-165,1.0,1,0
-571,0.0,0,1
-706,1.0,1,0
-168,1.0,1,0
-144,1.0,1,0
184,0.6666666666666666,2,1
-979,1.0,1,0
-313,0.0,0,1
486,0.5,1,1
-365,1.0,1,0
-308,0.5,1,1
-549,0.0,0,1
-277,1.0,1,0
-1258,1.0,1,0
942,0.0,0,1
-239,0.5,1,1
14,0.5,1,1
251,0.6666666666666666,2,1
116,0.75,3,1
131,0.0,0,1
-148,0.75,3,1
-169,0.0,0,1
267,1.0,1,0
-102,0.5,1,1
-63,0.0,0,2
3666,0.0,0,1
-98,0.0,0,2
129,0.6666666666666666,2,1
260,1.0,2,0
-4051,1.0,1,0
-66,0.6666666666666666,2,1
-151,1.0,2,0
-112,0.6666666666666666,4,2
722,1.0,1,0
-831,0.0,0,1
143,0.5,1,1
65,0.3333333333333333,1,2
-1120,1.0,1,0
293,0.5,1,1
-1130,1.0,1,0
-178,1.0,1,0
1010,1.0,1,0
-263,0.0,0,2
11447,0.0,0,1
-2162,1.0,1,0
328,0.0,0,1
-250,0.0,0,1
684,1.0,1,0
594,1.0,1,0
-2829,1.0,1,0
410,0.5,1,1
315,1.0,1,0
244,0.6666666666666666,2,1
-440,0.0,0,1
-465,0.5,1,1
-205,0.0,0,1
-13660,1.0,1,0
-284,0.5,2,2
-304,0.0,0,2
-201,0.0,0,4
432,1.0,1,0
-483,0.0,0,1
10,0.0,0,1
162,1.0,1,0
17,0.5,4,4
-2410,0.0,0,1
-1617,1.0,1,0
268,0.5,1,1
153,1.0,1,0
-537,0.0,0,1
-1739,0.0,0,1
191,1.0,2,0
405,1.0,1,0
-1057,1.0,1,0
318,0.0,0,3
-494,0.5,1,1
544,1.0,1,0
104,0.5,1,1
-218,0.0,0,1
94,0.42857142857142855,3,4
1399,1.0,1,0
-607,0.0,0,1
372,1.0,1,0
-187,0.0,0,1
-149,0.0,0,2
-410,0.0,0,2
555,1.0,1,0
-240,1.0,1,0
-621,0.0,0,2
270,0.5,1,1
-1761,0.0,0,1
357,1.0,1,0
-586,0.0,0,2
-2433,1.0,1,0
-985,1.0,1,0
682,0.0,0,1
338,0.0,0,1
211,0.5,2,2
-790,1.0,1,0
-31985,1.0,1,0
-519,1.0,1,0
-181,0.0,0,1
-711,0.0,0,1
13,0.75,3,1
237,0.5,1,1
-471,1.0,1,0
387,1.0,1,0
-220,0.5,1,1
-704,0.0,0,1
230,1.0,3,0
-276,0.0,0,1
1407,1.0,1,0
1794,0.0,0,1
-444,0.5,1,1
1680,0.0,0,1
564,0.0,0,1
-219,0.5,1,1
-619,1.0,1,0
720,1.0,1,0
-4072,0.0,0,1
575,0.0,0,1
595,1.0,1,0
630,1.0,1,0
-771,0.0,0,1
-536,0.0,0,1
-295,0.0,0,2
49,0.75,3,1
-41,0.25,1,3
-409,0.0,0,1
592,1.0,1,0
-1156,0.0,0,1
-372,1.0,1,0
-305,1.0,2,0
255,1.0,1,0
-120,0.3333333333333333,1,2
-332,1.0,1,0
347,0.0,0,1
136,0.6666666666666666,2,1
-259,1.0,1,0
1432,0.0,0,1
443,1.0,1,0
106,0.25,1,3
-507,0.0,0,1
731,1.0,1,0
111,1.0,4,0
174,0.5,1,1
1032,1.0,2,0
534,1.0,2,0
-316,0.0,0,1
-840,0.5,1,1
467,1.0,1,0
430,1.0,1,0
1507,1.0,1,0
-223,0.0,0,1
-146,0.3333333333333333,1,2
80,1.0,3,0
-420,0.0,0,1
-9,1.0,1,0
227,0.0,0,1
351,0.0,0,1
606,0.0,0,1
-868,1.0,1,0
-713,1.0,1,0
968,0.0,0,1
13430,0.0,0,1
-26,0.0,0,1
-531,0.0,0,1
-652,0.0,0,1
194,1.0,1,0
-502,1.0,1,0
-654,1.0,1,0
-272,1.0,1,0
884,1.0,1,0
-903,0.5,1,1
992,0.0,0,1
1398,0.0,0,1
-415,1.0,1,0
173,1.0,2,0
242,1.0,1,0
224,0.0,0,1
-139,0.5,1,1
-127,0.6666666666666666,2,1
-478,0.0,0,1
-734,0.0,0,1
401,1.0,1,0
415,1.0,1,0
-780,0.0,0,1
-31995,1.0,2,0
741,1.0,1,0
339,0.5,1,1
370,0.5,1,1
-1172,0.0,0,1
1287,0.0,0,1
-381,0.5,1,1
-80,0.0,0,2
-126,1.0,3,0
305,0.0,0,1
-940,0.0,0,1
217,0.0,0,1
1139,0.0,0,1
-314,0.0,0,2
206,0.0,0,2
-796,0.0,0,1
3058,1.0,1,0
-2446,0.0,0,1
785,1.0,2,0
-1442,0.0,0,1
-245,0.0,0,1
466,0.0,0,2
-969,1.0,1,0
241,0.0,0,1
1604,0.0,0,1
97,0.5,1,1
-447,0.0,0,1
-366,1.0,1,0
31984,1.0,1,0
-242,0.0,0,1
-825,0.0,0,1
-797,1.0,1,0
343,0.0,0,1
511,1.0,1,0
1357,1.0,1,0
-660,1.0,1,0
48,1.0,2,0
-75,1.0,1,0
-209,0.5,1,1
5,0.0,0,1
-1060,0.0,0,1
-2634,0.0,0,1
-299,1.0,1,0
441,1.0,1,0
31998,1.0,1,0
125,0.25,1,3
215,1.0,1,0
-763,0.0,0,2
-852,0.0,0,1
160,0.0,0,1
-522,0.0,0,1
-1504,0.0,0,1
-1354,1.0,1,0
60,0.3333333333333333,2,4
-606,1.0,1,0
-32001,1.0,2,0
-602,1.0,1,0
-370,1.0,1,0
-241,1.0,1,0
177,0.5,1,1
442,0.0,0,1
-1215,0.0,0,1
781,1.0,1,0
95,1.0,3,0
386,1.0,2,0
1230,1.0,1,0
1022,0.0,0,1
570,1.0,1,0
857,1.0,1,0
12273,0.0,0,1
1324,1.0,1,0
154,1.0,3,0
172,1.0,2,0
-717,1.0,1,0
671,1.0,1,0
322,0.0,0,1
998,1.0,2,0
1808,1.0,1,0
484,1.0,1,0
-1118,0.0,0,1
-2006,0.0,0,1
-1473,0.0,0,1
598,1.0,2,0
437,0.0,0,1
390,0.0,0,1
-1229,1.0,1,0
990,1.0,1,0
-1081,0.5,1,1
-426,0.0,0,1
-306,0.0,0,1
-2246,0.0,0,1
621,0.0,0,1
-31987,0.6666666666666666,2,1
-206,0.0,0,1
1346,0.0,0,1
-938,0.0,0,1
-3966,0.0,0,1
-358,1.0,1,0
-264,0.5,1,1
403,1.0,1,0
581,1.0,1,0
-556,1.0,1,0
936,1.0,1,0
-167,0.5,1,1
-107,0.0,0,1
-3310,0.0,0,1
475,0.0,0,1
92,0.6666666666666666,2,1
446,1.0,2,0
458,1.0,2,0
1079,1.0,1,0
-184,0.0,0,1
-431,0.0,0,1
-207,1.0,1,0
-246,0.0,0,2
-268,1.0,1,0
-546,0.0,0,1
-1398,0.0,0,1
280,0.0,0,1
-3501,1.0,1,0
-301,0.0,0,2
-244,0.0,0,1
231,1.0,1,0
-824,1.0,1,0
-727,1.0,1,0
3067,1.0,1,0
51,0.5,1,1
501,0.0,0,1
32,1.0,1,0
-399,0.0,0,1
1094,0.0,0,1
-47,0.0,0,2
913,0.0,0,1
-917,1.0,1,0
-291,0.0,0,1
1742,1.0,1,0
-749,0.0,0,1
613,0.0,0,1
